               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.019943,           0.0052215,                   0,             0.98248,             0.99145,              0.9944,             0.71827,            0.021035,           0.0038549,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.020055,           0.0047412,                   0,             0.98212,             0.99145,             0.99483,             0.72805,            0.020829,            0.003855,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.020983,           0.0045547,                   0,             0.98026,             0.99145,             0.99457,             0.71127,            0.022129,           0.0038986,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.019869,           0.0049886,                   0,             0.98014,             0.99145,             0.99466,             0.72966,              0.0202,           0.0037827,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.020558,           0.0053419,                   0,               0.993,             0.97436,             0.99466,             0.73992,            0.019616,           0.0037116,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.020332,           0.0048673,                   0,             0.97356,                   1,             0.99432,             0.73937,            0.019164,           0.0036788,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.020312,           0.0049238,                   0,             0.96703,             0.99145,             0.99424,             0.70791,            0.020894,           0.0036987,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.019543,           0.0048596,                   0,             0.98303,             0.99145,             0.99432,             0.74719,            0.019522,           0.0035728,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.018186,           0.0045906,                   0,             0.98318,              0.9993,             0.99457,             0.74542,            0.019249,           0.0036861,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.020103,           0.0048562,                   0,                   1,             0.99121,               0.995,             0.73487,            0.019392,           0.0037139,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.020429,           0.0050475,                   0,             0.98146,                   1,             0.99483,             0.74918,            0.019317,           0.0036377,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.019036,           0.0046654,                   0,               0.982,             0.99145,             0.99474,             0.74645,            0.019486,           0.0038605,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.019636,           0.0047907,                   0,             0.98303,             0.99041,             0.99449,             0.72417,            0.020401,           0.0040143,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,             0.02053,           0.0045698,                   0,              0.9977,             0.99145,               0.995,             0.71047,            0.021276,           0.0039639,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.019335,           0.0047547,                   0,                   1,             0.99118,               0.995,             0.71521,            0.021188,           0.0037572,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.019398,           0.0048743,                   0,             0.99151,             0.99856,               0.995,             0.72923,              0.0205,           0.0036776,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.019857,           0.0048226,                   0,                   1,             0.98969,               0.995,             0.74644,            0.019694,           0.0038064,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.018154,           0.0044419,                   0,                   1,             0.99145,               0.995,             0.72074,            0.020378,           0.0039394,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,             0.01806,           0.0046538,                   0,             0.99844,             0.98291,             0.99467,             0.71743,            0.020893,           0.0038719,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,             0.01855,           0.0047369,                   0,             0.99034,                   1,               0.995,             0.73318,            0.019864,           0.0037055,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.019712,           0.0046807,                   0,             0.98986,                   1,               0.995,             0.74246,            0.020419,           0.0037358,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,             0.01826,           0.0044617,                   0,                   1,             0.99942,               0.995,             0.73269,             0.02011,           0.0036452,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.018455,           0.0049871,                   0,             0.99443,             0.98291,             0.99491,             0.72996,            0.019909,           0.0036771,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.018507,           0.0048497,                   0,             0.99785,             0.99145,               0.995,             0.75078,            0.018948,           0.0036525,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.019188,           0.0047068,                   0,             0.99901,             0.98291,             0.99491,             0.72854,            0.020448,           0.0037501,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.018432,           0.0045605,                   0,                   1,             0.98118,             0.99475,             0.71565,            0.019945,           0.0037262,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.018873,            0.004596,                   0,             0.98317,             0.99861,             0.99483,             0.75997,            0.018485,           0.0034892,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.018138,            0.004503,                   0,             0.99717,             0.99145,               0.995,             0.75309,            0.019408,           0.0036047,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.017109,           0.0043315,                   0,                   1,              0.9993,               0.995,             0.73778,            0.020096,           0.0035985,                   0,           0.0077428,           0.0077428,           0.0077428
